image_name,DATE,DATE_LEN,CITY,CITY_LEN,STATE,STATE_LEN,ZIP,ZIP_LEN,predictions,ground_truth,total_accuracy,date_accuracy,city_accuracy,state_accuracy,zip_accuracy
f0002_01.png,0,6,0,11,0,2,0,5,"{'DATE': '8-3-89', 'CITY': 'MINDEN CITY', 'STATE': 'Mi', 'ZIP': '48456', 'image_name': 'f0002_01.png'}","{'DATE': '8-3-89', 'CITY': 'MINDEN CITY', 'STATE': 'Mi', 'ZIP': '48456'}",100.0,100.0,100.0,100.0,100.0
f0003_42.png,0,8,0,9,0,2,0,5,"{'DATE': '08-03-89', 'CITY': 'Charlotte', 'STATE': 'MI', 'ZIP': '48813', 'image_name': 'f0003_42.png'}","{'DATE': '08-03-89', 'CITY': 'Charlotte', 'STATE': 'MI', 'ZIP': '48813'}",100.0,100.0,100.0,100.0,100.0
f0005_26.png,0,6,0,6,0,4,0,5,"{'DATE': '8/2/89', 'CITY': 'WARREN', 'STATE': 'MICH', 'ZIP': '48092', 'image_name': 'f0005_26.png'}","{'DATE': '8/2/89', 'CITY': 'WARREN', 'STATE': 'MICH', 'ZIP': '48092'}",100.0,100.0,100.0,100.0,100.0
f0007_14.png,0,6,0,4,0,2,0,5,"{'DATE': '8-2-89', 'CITY': 'Novi', 'STATE': 'mi', 'ZIP': '48050', 'image_name': 'f0007_14.png'}","{'DATE': '8-2-89', 'CITY': 'Novi', 'STATE': 'mi', 'ZIP': '48050'}",100.0,100.0,100.0,100.0,100.0
f0008_45.png,0,6,0,15,0,2,0,5,"{'DATE': '8-2-89', 'CITY': 'ROCHESTER HILLS', 'STATE': 'MI', 'ZIP': '48063', 'image_name': 'f0008_45.png'}","{'DATE': '8-2-89', 'CITY': 'ROCHESTER HILLS', 'STATE': 'MI', 'ZIP': '48063'}",100.0,100.0,100.0,100.0,100.0
f0010_18.png,0,6,0,7,0,3,0,5,"{'DATE': '8-2-89', 'CITY': 'DETROIT', 'STATE': 'MI.', 'ZIP': '48210', 'image_name': 'f0010_18.png'}","{'DATE': '8-2-89', 'CITY': 'DETROIT', 'STATE': 'MI.', 'ZIP': '48210'}",100.0,100.0,100.0,100.0,100.0
f0011_13.png,0,8,0,7,0,3,0,5,"{'DATE': '08/03/89', 'CITY': 'ATLANTA', 'STATE': 'MI.', 'ZIP': '49709', 'image_name': 'f0011_13.png'}","{'DATE': '08/03/89', 'CITY': 'ATLANTA', 'STATE': 'MI.', 'ZIP': '49709'}",100.0,100.0,100.0,100.0,100.0
f0012_39.png,0,6,0,9,0,3,0,5,"{'DATE': '7/3/89', 'CITY': 'Cheboygan', 'STATE': 'Mi.', 'ZIP': '49721', 'image_name': 'f0012_39.png'}","{'DATE': '7/3/89', 'CITY': 'Cheboygan', 'STATE': 'Mi.', 'ZIP': '49721'}",100.0,100.0,100.0,100.0,100.0
f0013_38.png,0,6,0,8,0,2,0,5,"{'DATE': '8-3-89', 'CITY': 'Westland', 'STATE': 'Mi', 'ZIP': '48185', 'image_name': 'f0013_38.png'}","{'DATE': '8-3-89', 'CITY': 'Westland', 'STATE': 'Mi', 'ZIP': '48185'}",100.0,100.0,100.0,100.0,100.0
f0014_19.png,0,6,0,7,0,4,0,5,"{'DATE': '8-2-89', 'CITY': 'DETROIT', 'STATE': 'MICH', 'ZIP': '48214', 'image_name': 'f0014_19.png'}","{'DATE': '8-2-89', 'CITY': 'DETROIT', 'STATE': 'MICH', 'ZIP': '48214'}",100.0,100.0,100.0,100.0,100.0
f0015_48.png,0,6,0,15,0,2,0,5,"{'DATE': '8/2/89', 'CITY': 'West Bloomfield', 'STATE': 'MI', 'ZIP': '48322', 'image_name': 'f0015_48.png'}","{'DATE': '8/2/89', 'CITY': 'West Bloomfield', 'STATE': 'MI', 'ZIP': '48322'}",100.0,100.0,100.0,100.0,100.0
f0016_39.png,0,6,0,7,0,5,0,5,"{'DATE': '8-2-89', 'CITY': 'DETROIT', 'STATE': 'MICH.', 'ZIP': '48203', 'image_name': 'f0016_39.png'}","{'DATE': '8-2-89', 'CITY': 'DETROIT', 'STATE': 'MICH.', 'ZIP': '48203'}",100.0,100.0,100.0,100.0,100.0
